,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
797,900704255.6732788,810106019.1213379,5177063.646567345,1117886647.30188,1379606890.0802002,5334667035.845703,3859090942.074707,314.2483369259374,3859090942.074707,0.3055937833813118,0.11101070660232217,0.27505926051412644,0.16883982629489272,215.9306362870573,2.843310063572578,0.48006397723611444,0.4314800791589003,0.006024723161610373
798,904470629.7780151,810167588.3990479,5175887.063699722,1121450206.6654053,1383127337.494995,5327978781.491211,3859090942.0751953,314.5535081316008,3859090942.0751953,0.3051712056633846,0.11091936517349721,0.274701490702455,0.16975867714039003,216.66821413676539,2.844244502622202,0.4828351842289716,0.4314800791589003,0.006031198717786813
799,916934497.4926147,816101615.736206,5276230.9429888725,1138387525.2374268,1406818124.3446045,5394326714.668945,3859090942.0751953,314.8624687155786,3859090942.0751953,0.30896058397780735,0.11524214465075897,0.27703453053646854,0.16998126846843903,215.75771370472924,2.8430901523456438,0.4832720704658401,0.4296496152900467,0.006096348065968317
800,971600464.2563477,835692428.8552246,5550974.967726707,1203146161.4787598,1483925906.2113037,5617021572.556641,3859090942.074707,315.18425827477853,3859090942.074707,0.32178955919994223,0.1522693246495466,0.2792659253493639,0.1729743159619226,216.74501659146998,2.844341473397791,0.49199802072310994,0.4290900362646554,0.006362549629673478
801,924225618.1155396,809330325.3562012,5317620.0347857475,1149509998.658142,1415802530.4005127,5371140194.993164,3859090942.0751953,315.4919186906247,3859090942.0751953,0.3076604158461578,0.10440664374003969,0.278575303390312,0.172072518043204,216.17001424293323,2.843613963593932,0.48930781505842375,0.4314800791589003,0.006110187711270768
802,933316245.2265015,814199790.7471924,5360217.720767021,1158100544.0787964,1428040143.802124,5421771590.250977,3859090942.074707,315.802453631632,3859090942.074707,0.3105349410072904,0.1136960141063429,0.27883276681785674,0.17214230250951937,216.05475829684727,2.843467717449502,0.4894810799932447,0.4296496152900467,0.006153447286121423
803,959681055.2438965,823670049.1983643,5511419.296545029,1192201004.3526,1469175548.8302002,5523225823.888672,3859090942.0751953,316.11884383441253,3859090942.0751953,0.3163902027805534,0.12294199630829891,0.2817511535063204,0.17375372397289113,216.31469866572502,2.8437973516341355,0.4941203800706764,0.4296496152900467,0.006261488860103114
804,969125748.255249,828193180.4460449,5569459.493459225,1203678288.5342407,1483837300.1604004,5558504964.280273,3859090942.0751953,316.4372583626401,3859090942.0751953,0.31841452822754945,0.1252663573246909,0.2829681400806976,0.17435007335299438,216.12120349341637,2.843552045739379,0.49577350775771795,0.4296496152900467,0.0063002150239007924
805,968887945.894104,820959724.3829346,5542278.818438053,1202590680.56781,1481211748.076416,5511282278.086914,3859090942.074707,316.75294492523943,3859090942.074707,0.31568656259935324,0.11563474300256378,0.28296587622372726,0.1758008203910082,216.98487570979492,2.84464392001057,0.5000907348581517,0.42876048012344586,0.006269518195796417
806,996492259.4733887,830043762.8668213,5701050.676202297,1234459829.4056396,1521668099.5844727,5615179869.6640625,3859090942.0751953,317.0745802331179,3859090942.0751953,0.3216353078784664,0.12086356572958858,0.28695312945524165,0.17746399627497694,216.53198673686651,2.8440723489851605,0.5047204447460675,0.42860636170799987,0.006359512108543484
807,1026249640.8687744,839798894.2553711,5882170.331789017,1272955294.44104,1565614011.8706055,5735952411.640625,3859090942.074707,317.40323461066964,3859090942.074707,0.328654377551743,0.14643804966860266,0.28667434550584403,0.17891529901574646,216.4091181721833,2.84391690921542,0.5088202441882144,0.4280467826826086,0.006567931720472557
808,1001020488.0682983,824547770.1549072,5751543.2574157715,1244288702.895996,1530585706.553711,5596402046.933594,3859090942.0751953,317.72383654760824,3859090942.0751953,0.3206019369386013,0.10669786626456379,0.2896923783007992,0.17886858014727194,216.33997124018293,2.8438293619748953,0.5086717201575718,0.42860636170799987,0.006355170167466455
809,1033759066.9814453,837221047.925293,5911431.001794815,1282828350.6287231,1581995217.4416504,5732641307.4140625,3859090942.0751953,318.0522237267193,3859090942.0751953,0.3283871791110755,0.12413605392572932,0.29212405203469416,0.18032858006386654,217.0080899598141,2.844673159580961,0.5129758716130275,0.4280467826826086,0.00647746643676366
810,1040067788.7931519,838205670.524292,5972520.051510811,1289244210.229004,1588793474.8657227,5746290323.894531,3859090942.074707,318.38145254071156,3859090942.074707,0.3292288139922448,0.1286035292095965,0.291713436535872,0.1809981275168584,215.86268427895462,2.8432236847778407,0.5146181630563716,0.4280467826826086,0.006553616824345259
811,1039700569.4168701,834348616.3248291,5970462.386562347,1290866891.0465088,1586677804.4951172,5712408093.501953,3859090942.0751953,318.7086510384211,3859090942.0751953,0.3271984977095599,0.11483634255076437,0.2934946460042056,0.18200740430284781,216.20886414959224,2.843663227774724,0.5175677627987354,0.4280467826826086,0.006511598974127642
812,1055951567.0022583,838445768.4304199,6037821.942335129,1311437279.1652832,1618436175.2971191,5780649108.956055,3859090942.074707,319.0397777659515,3859090942.074707,0.33112672753037486,0.12614761597596122,0.2940349229824619,0.1826700682050144,217.20370221088112,2.8449193191168103,0.5196816060608309,0.4280467826826086,0.006572963923814593
813,1059153947.7866821,837320832.618042,6078580.943650246,1314047491.3204346,1617996380.8972168,5774595241.586914,3859090942.0751953,319.37063284309824,3859090942.0751953,0.3308550771467367,0.12271139832170437,0.29469289938742804,0.1834161362789501,216.1766872074153,2.8436224264802212,0.521566238501175,0.4280467826826086,0.006602560587249236
814,1060002161.7111206,835580326.4713135,6066442.655741692,1314166870.451233,1623432928.0515137,5767737089.716797,3859090942.0751953,319.70101476291256,3859090942.0751953,0.33038191981432874,0.125054206513687,0.29365866809041563,0.18378128982352213,216.62891170782214,2.844194855340459,0.5227097990238955,0.4280467826826086,0.006612582974304821
815,1079746248.5838013,844740371.9067383,6211130.6041145325,1341768294.9072266,1651540883.52417,5858309813.713867,3859090942.074707,320.03659886017925,3859090942.074707,0.3355840972666897,0.13270157770505273,0.2962687647585085,0.1843101991731806,216.0264178019987,2.8434317351205536,0.5240734694354117,0.4280467826826086,0.006710651063754775
816,1071036416.9788208,836500815.217041,6164516.268863678,1327013516.678833,1641573694.3969727,5791624350.341797,3859090942.0751953,320.36841320281997,3859090942.0751953,0.33181434264071186,0.12358601061272087,0.29531726054489127,0.18492850229756577,215.26644732554902,2.8424636519476705,0.5256525459899519,0.4280467826826086,0.006681747110544743
817,1099692827.586853,846917531.2832031,6294960.430167198,1363185484.0020752,1682319803.442871,5904817218.532227,3859090942.074707,320.7066479736159,3859090942.074707,0.338234770795907,0.14409548685976312,0.295635088749691,0.1862365568464126,216.5518749680001,2.8440974943939943,0.5296749246914467,0.4280467826826086,0.006815800783815779
818,1092956333.5037231,837222680.5472412,6282005.970010757,1356344264.7075195,1666412008.5317383,5835404150.181641,3859090942.0751953,321.04091235640817,3859090942.0751953,0.3342643827922984,0.12195706305216866,0.2979297459770578,0.1872974528199049,215.9094198863356,2.8432830991197413,0.5325396821110128,0.4268943693686106,0.006749387161132905
819,1120664452.5317383,848381924.3199463,6400739.980937958,1387765252.1797485,1714014403.7121582,5949204095.970703,3859090942.0751953,321.3817903796054,3859090942.0751953,0.34087802319720595,0.13394613951977222,0.3006121819344685,0.1883721644868001,216.81325226655855,2.844427575666247,0.5358109791541924,0.42479270060242247,0.006815590231708562
820,1122506989.8823853,843954895.4915771,6443325.655883789,1394012140.8778687,1715139622.5847168,5923462049.061523,3859090942.074707,321.72113430663524,3859090942.074707,0.3393439270298586,0.12630465504944527,0.3012896426455427,0.18950184547231602,216.34978818817146,2.843841794336869,0.5389132682581392,0.4268943693686106,0.006845508942000578
821,1146933973.593811,850735382.6358643,6565192.147428513,1423926802.5858765,1751835286.5742188,6004613864.229492,3859090942.0751953,322.0651394342023,3859090942.0751953,0.3440051275670726,0.13464094400993348,0.3031841300837641,0.19100878083539927,216.89034694035684,2.8445247976244077,0.543329213650299,0.42479270060242247,0.006931398039262543
822,1141494929.7455444,849461217.8276367,6552729.462486267,1417569732.1921387,1738249126.78833,5983261119.316406,3859090942.074707,322.4078958312548,3859090942.074707,0.34275639705248295,0.1284427922538963,0.30374282099660377,0.190781399471324,216.3327114765818,2.84382016742205,0.5425479913855537,0.42479270060242247,0.00690551508624693
